,artist_name,song_title,songs_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
46,Harry Styles,Grapejuice,4j6kId9QIqhoXvqHKgSKa0,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,audio_features,7dSZ6zGTQx66c2GF91xCrb,spotify:track:7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/tracks/7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/audio-analysis/7dSZ6zGTQx66c2GF91xCrb,210200,4
47,Bad Bunny,Un Ratito,5CzixCxDkRXX9mScCmah8O,0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,0.284,124.992,audio_features,1qMMYpVatbRITKCfq1gasi,spotify:track:1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/tracks/1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/audio-analysis/1qMMYpVatbRITKCfq1gasi,172933,4
48,Shawn Mendes,When You're Gone,0U1W2LZVUX7qTm7dDpqxh6,0.582,0.797,5,-4.926,1,0.0334,0.23,0.0,0.132,0.595,135.973,audio_features,3HO30hRbkOLU6ZWERayfQO,spotify:track:3HO30hRbkOLU6ZWERayfQO,https://api.spotify.com/v1/tracks/3HO30hRbkOLU6ZWERayfQO,https://api.spotify.com/v1/audio-analysis/3HO30hRbkOLU6ZWERayfQO,196027,4
49,Harry Styles,Satellite,0rzaRSujxA0bKyjJl6vHYq,0.635,0.747,4,-6.227,1,0.0293,0.00313,0.0,0.346,0.753,104.027,audio_features,77oKig47u34qCCFWKMfu1e,spotify:track:77oKig47u34qCCFWKMfu1e,https://api.spotify.com/v1/tracks/77oKig47u34qCCFWKMfu1e,https://api.spotify.com/v1/audio-analysis/77oKig47u34qCCFWKMfu1e,189560,4
50,Kane Brown,Like I Love Country Music,3j1xkzTW8owIphkWV51V9s,0.564,0.903,5,-3.221,1,0.307,0.356,0.0,0.175,0.607,78.293,audio_features,1dm6z1fWB0cErMszU25dy2,spotify:track:1dm6z1fWB0cErMszU25dy2,https://api.spotify.com/v1/tracks/1dm6z1fWB0cErMszU25dy2,https://api.spotify.com/v1/audio-analysis/1dm6z1fWB0cErMszU25dy2,230400,4
51,Morgan Wallen,Thought You Should Know,6NHpyYvJyQsg2nXXzGYc2R,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,6zSpb8dQRaw0M1dK8PBwQz,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,202735,4
52,Miranda Lambert,If I Was A Cowboy,6F7UOC6fPWOkPqybOWBHSv,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4
53,NEW,Potion,6JIRjbIe2hQVDnH1Fbz3dc,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/tracks/50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/audio-analysis/50nfwKoDiSYg8zOCREWAm5,207853,4
54,Quavo & Takeoff,Hotel Lobby (Unc And Phew),0QNNd0qMCDbraS1nQPg3aA,0.559,0.66,7,-4.143,1,0.0512,0.222,0.0,0.193,0.574,163.957,audio_features,2afB4eV1KWBqLqFqME6PTh,spotify:track:2afB4eV1KWBqLqFqME6PTh,https://api.spotify.com/v1/tracks/2afB4eV1KWBqLqFqME6PTh,https://api.spotify.com/v1/audio-analysis/2afB4eV1KWBqLqFqME6PTh,157907,4
55,Lil Baby,Right On,6ws54n2IzyrIxxyzlG2bVJ,0.168,0.00931,9,-30.647,1,0.0431,0.815,0.803,0.0855,0.0385,113.992,audio_features,7x0wkOCv38Xzd2DBmyU9IC,spotify:track:7x0wkOCv38Xzd2DBmyU9IC,https://api.spotify.com/v1/tracks/7x0wkOCv38Xzd2DBmyU9IC,https://api.spotify.com/v1/audio-analysis/7x0wkOCv38Xzd2DBmyU9IC,153267,4
