,artist_name,song_title,identifier,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,cluster_k30
3347,Eddie Palmieri,Cafe,not_hot,0.836,0.847,-5.038,0.0834,0.117,4.52e-06,0.588,92.966,22
3348,Ookay,Back Again,not_hot,0.641,0.63,-7.371,0.0362,0.0737,0.00371,0.205,160.026,21
3349,Wild Party,Life's Too Short,not_hot,0.607,0.437,-10.78,0.052,0.00111,0.0,0.128,103.053,28
3350,Shakey Graves,My Neighbor,not_hot,0.17,0.691,-7.248,0.0563,0.591,0.908,0.0921,142.476,18
3351,John Williams,Star Wars: Imperial March,not_hot,0.216,0.146,-14.8,0.0372,0.934,0.905,0.0542,80.653,5
3352,OutKast,She Lives in My Lap,not_hot,0.53,0.44,-6.217,0.0248,0.849,7.4e-06,0.281,74.071,29
3353,Avatar,Hail The Apocalypse,not_hot,0.428,0.959,-4.67,0.0729,0.00567,0.000273,0.396,84.983,4
3354,Gorillaz,Ticker Tape (feat. Carly Simon & Kali Uchis),not_hot,0.253,0.471,-8.951,0.0356,0.0557,0.0,0.22,154.11,23
3355,LEISURE,Know You Better,not_hot,0.552,0.384,-9.641,0.0249,0.19,3.3e-05,0.286,139.986,23
3356,Syd,Bad Dream/No Looking Back,not_hot,0.548,0.686,-5.867,0.041,0.0718,0.0,0.213,77.488,4
3357,Hank Mobley,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,not_hot,0.471,0.995,-1.283,0.161,0.138,0.012,0.721,111.884,20
3358,Darius Rucker,Lost In You,not_hot,0.838,0.569,-6.568,0.0611,0.325,1.73e-05,0.618,120.017,21
3359,Massive Attack,Wire - Leaping Dub,not_hot,0.649,0.296,-9.389,0.0334,0.364,7.76e-06,0.6,81.911,7
