,artist_name,song_title,songs_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3202,The Pharcyde,Moment In Time,0BVXmJ0LW75WTqu82nxkuM,0.606,0.59,0,-7.39,1,0.0284,0.378,0.0,0.0999,0.276,135.148,audio_features,4su3hxvmSxgAf8G02Cen1h,spotify:track:4su3hxvmSxgAf8G02Cen1h,https://api.spotify.com/v1/tracks/4su3hxvmSxgAf8G02Cen1h,https://api.spotify.com/v1/audio-analysis/4su3hxvmSxgAf8G02Cen1h,224547,4
3203,Grizfolk,Hymnals - RAC Mix,2r12KCHNv0p7JQJsGt3vYK,0.618,0.126,7,-14.534,1,0.0304,0.821,6.4e-06,0.103,0.25,107.714,audio_features,6gaZFbGv9vSNuHhRBl8Qj0,spotify:track:6gaZFbGv9vSNuHhRBl8Qj0,https://api.spotify.com/v1/tracks/6gaZFbGv9vSNuHhRBl8Qj0,https://api.spotify.com/v1/audio-analysis/6gaZFbGv9vSNuHhRBl8Qj0,300627,4
3204,Attom,Her,1Y0l1nt2DjjVL741o00u0i,0.784,0.472,0,-8.564,1,0.0284,0.67,0.00273,0.108,0.613,117.994,audio_features,6ol7YrdVQHbJQw2kSeHcAo,spotify:track:6ol7YrdVQHbJQw2kSeHcAo,https://api.spotify.com/v1/tracks/6ol7YrdVQHbJQw2kSeHcAo,https://api.spotify.com/v1/audio-analysis/6ol7YrdVQHbJQw2kSeHcAo,172119,4
3205,The Front Bottoms,The Plan (Fuck Jobs),2UJ2JvrxU5Ue1y08o5TzqJ,0.702,0.686,7,-4.011,1,0.025,0.188,0.0,0.0919,0.628,112.986,audio_features,1CGCzGaHvPiU7wxsUV7Dbj,spotify:track:1CGCzGaHvPiU7wxsUV7Dbj,https://api.spotify.com/v1/tracks/1CGCzGaHvPiU7wxsUV7Dbj,https://api.spotify.com/v1/audio-analysis/1CGCzGaHvPiU7wxsUV7Dbj,221360,4
3206,Etta James,"Do Right Woman, Do Right Man",2mVp83pLkWJN03Ha8Txydf,0.536,0.361,7,-14.124,1,0.0343,0.543,0.0244,0.125,0.497,92.317,audio_features,3EIaLnzOo8WGHJuNskq2LF,spotify:track:3EIaLnzOo8WGHJuNskq2LF,https://api.spotify.com/v1/tracks/3EIaLnzOo8WGHJuNskq2LF,https://api.spotify.com/v1/audio-analysis/3EIaLnzOo8WGHJuNskq2LF,452507,4
3207,Waldeck,Never let you go,7AyHtPNolrWSyRYY0jLLFV,0.492,0.628,0,-7.359,1,0.0283,0.117,0.0115,0.135,0.151,87.899,audio_features,0BP2o4rGe7nkQea1JOWMbl,spotify:track:0BP2o4rGe7nkQea1JOWMbl,https://api.spotify.com/v1/tracks/0BP2o4rGe7nkQea1JOWMbl,https://api.spotify.com/v1/audio-analysis/0BP2o4rGe7nkQea1JOWMbl,389080,4
3208,The Front Bottoms,Swimming Pool,6Wbl5MNChRw3ydo9TjKzfQ,0.69,0.507,5,-9.194,1,0.0582,0.508,7.62e-06,0.371,0.146,120.008,audio_features,683AX7XmlnVaSMXqiObSip,spotify:track:683AX7XmlnVaSMXqiObSip,https://api.spotify.com/v1/tracks/683AX7XmlnVaSMXqiObSip,https://api.spotify.com/v1/audio-analysis/683AX7XmlnVaSMXqiObSip,187973,4
3209,The Movement,Cool Me Down,4xh6F59NMVAXOhF4Gdo9GA,0.696,0.236,4,-17.336,0,0.0393,0.778,1.43e-06,0.286,0.531,114.646,audio_features,7sU0Vea9wtQ4dPc4KJ42WK,spotify:track:7sU0Vea9wtQ4dPc4KJ42WK,https://api.spotify.com/v1/tracks/7sU0Vea9wtQ4dPc4KJ42WK,https://api.spotify.com/v1/audio-analysis/7sU0Vea9wtQ4dPc4KJ42WK,210533,4
3210,Axel Boy,Flashback,222PKy7NZa30N8bdgOf4rm,0.569,0.0441,1,-14.276,1,0.0386,0.959,0.0,0.0929,0.28,81.143,audio_features,6qKlJL60O5C2wTeOmZ43Xh,spotify:track:6qKlJL60O5C2wTeOmZ43Xh,https://api.spotify.com/v1/tracks/6qKlJL60O5C2wTeOmZ43Xh,https://api.spotify.com/v1/audio-analysis/6qKlJL60O5C2wTeOmZ43Xh,195719,4
3211,MF DOOM,Fenugreek,0MEnjivzhdSJADlcg70Wx0,0.483,0.645,11,-6.403,1,0.0834,0.0717,1.1e-06,0.258,0.328,82.374,audio_features,3cMBzDRp3OkdhFYPqmxyUc,spotify:track:3cMBzDRp3OkdhFYPqmxyUc,https://api.spotify.com/v1/tracks/3cMBzDRp3OkdhFYPqmxyUc,https://api.spotify.com/v1/audio-analysis/3cMBzDRp3OkdhFYPqmxyUc,188273,4
